"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_StdDev","F_base_95_lo","F_base_95_hi"
"WEE","S1",0.4,1981,0.0377250351439439,0.0191444090090754,0.0563056612788124,0.0386882869170077,0.00889737090598815,0.0212494399412709,0.0561271338927445
"WEE","S1",0.4,1982,0.0219531768365676,0.0114160884369211,0.0324902652362141,0.0227096142254105,0.00510170592943482,0.0127102706037183,0.0327089578471027
"WEE","S1",0.4,1983,0.0218105865457535,0.0120444364133256,0.0315767366781814,0.0226764492162027,0.00480699083073201,0.013254747187968,0.0320981512444374
"WEE","S1",0.4,1984,0.0252591574202552,0.0141928148060007,0.0363255000345097,0.0261912940243509,0.00545013507440257,0.0155090292785219,0.0368735587701799
"WEE","S1",0.4,1985,0.0237354619404985,0.0134778593954481,0.0339930644855489,0.0246247373214143,0.00507115515776582,0.0146852732121933,0.0345642014306353
"WEE","S1",0.4,1986,0.0251000728142442,0.0144861623551233,0.0357139832733651,0.0259921348804036,0.00526853951952933,0.0156657974221261,0.0363184723386811
"WEE","S1",0.4,1987,0.0222978579724604,0.0129820456636012,0.0316136702813196,0.0230489391495962,0.00463299528780661,0.0139682683854952,0.0321296099136972
"WEE","S1",0.4,1988,0.0243724975072668,0.0141831522424385,0.0345618427720951,0.0251331750891519,0.00505476281898235,0.0152258399639465,0.0350405102143573
"WEE","S1",0.4,1989,0.0235766686998958,0.0137614481938504,0.0333918892059412,0.0242470295905803,0.0048686394562619,0.014704496256307,0.0337895629248536
"WEE","S1",0.4,1990,0.0265968822315259,0.0155691417629251,0.0376246227001267,0.0273142336662853,0.00547544107141779,0.0165823691663064,0.0380460981662642
"WEE","S1",0.4,1991,0.0235388147624275,0.0137322790133603,0.0333453505114947,0.0241914550023664,0.0048617533917468,0.0146624183545427,0.0337204916501901
"WEE","S1",0.4,1992,0.0252068574607175,0.0146621678861975,0.0357515470352375,0.0259931777325436,0.00524028353632496,0.0157222220013467,0.0362641334637405
"WEE","S1",0.4,1993,0.0255871505014871,0.0148139064201211,0.0363603945828531,0.0265242230592987,0.0053774603400536,0.0159844007927936,0.0370640453258038
"WEE","S1",0.4,1994,0.0257372193450135,0.0148579356472946,0.0366165030427324,0.026772242413586,0.0054614941520817,0.0160677138755059,0.0374767709516661
"WEE","S1",0.4,1995,0.0228290903902113,0.0130976563340674,0.0325605244463552,0.0239096873096576,0.00490879393439337,0.0142884511982466,0.0335309234210686
"WEE","S1",0.4,1996,0.0222973788059239,0.0126266623832042,0.0319680952286436,0.0235986639542615,0.00488012369626103,0.0140336215095899,0.0331637063989331
"WEE","S1",0.4,1997,0.0207205164592523,0.0114284896623599,0.0300125432561447,0.0220247775544835,0.00469001344539111,0.0128323512015169,0.0312172039074501
"WEE","S1",0.4,1998,0.0206181217834919,0.0116304115483391,0.0296058320186447,0.0219730234313266,0.00458376517125275,0.0129888436956712,0.030957203166982
"WEE","S1",0.4,1999,0.0212039822528962,0.0121433310221769,0.0302646334836155,0.022612820724547,0.00463129994100672,0.0135354728401738,0.0316901686089202
"WEE","S1",0.4,2000,0.021557381307159,0.0124481864820754,0.0306665761322426,0.0229495631494334,0.00464563807952423,0.0138441125135659,0.0320550137853009
