"Dataset","Scenario","q","Year","SSB","SSB_base","SSB_95_lo","SSB_95_hi","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S2",0.6,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S2",0.6,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S2",0.6,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S2",0.6,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S2",0.6,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S2",0.6,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S2",0.6,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S2",0.6,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S2",0.6,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S2",0.6,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S2",0.6,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S2",0.6,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S2",0.6,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S2",0.6,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S2",0.6,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S2",0.6,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S2",0.6,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S2",0.6,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S2",0.6,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S2",0.6,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S2",0.6,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S2",0.6,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S2",0.6,2005,65.99745747,65.99745747,NA,NA,NA,NA
